
time	REAL(psi[n])	IMAG(psi[n])	averx	deltax	averp	deltap	avg_state_energy	norm(psi)
0.0000000000000000e+00	2.1445238514265207e-314	0.0000000000000000e+00	3.0000005694569197e+01	5.9999854930547025e+00	8.3855419469449788e-01	4.5058136596556914e-02	1.9631275851119523e-01	9.9999999999999978e-01
6.6666666666666670e-05	2.1445238514265207e-314	1.9631275851119523e-01	3.0000029471199412e+01	5.9999854930666521e+00	8.3855419469778358e-01	4.5058136580145583e-02	1.9631275851119534e-01	1.0000000000000000e+00
1.3333333333333334e-04	2.1445238514265207e-314	1.9631275851119534e-01	3.0000077024459863e+01	5.9999854930913710e+00	8.3855419470435544e-01	4.5058136547316760e-02	1.9631275851119545e-01	9.9999999999999978e-01
2.0000000000000001e-04	2.1445238514265207e-314	1.9631275851119545e-01	3.0000148354350525e+01	5.9999854931304872e+00	8.3855419471420833e-01	4.5058136498146828e-02	1.9631275851119531e-01	9.9999999999999989e-01
2.6666666666666668e-04	2.1445238514265207e-314	1.9631275851119531e-01	3.0000243460871403e+01	5.9999854931864407e+00	8.3855419472733972e-01	4.5058136432649339e-02	1.9631275851119540e-01	1.0000000000000000e+00
3.3333333333333338e-04	2.1445238514265207e-314	1.9631275851119540e-01	3.0000362344022545e+01	5.9999854932624919e+00	8.3855419474374460e-01	4.5058136350900675e-02	1.9631275851119537e-01	1.0000000000000000e+00
4.0000000000000002e-04	2.1445238514265207e-314	1.9631275851119537e-01	3.0000505003803877e+01	5.9999854933627121e+00	8.3855419476341564e-01	4.5058136252993236e-02	1.9631275851119531e-01	1.0000000000000002e+00
4.6666666666666666e-04	2.1445238514265207e-314	1.9631275851119531e-01	3.0000671440215438e+01	5.9999854934919927e+00	8.3855419478634530e-01	4.5058136139031743e-02	1.9631275851119545e-01	1.0000000000000002e+00
5.3333333333333336e-04	2.1445238514265207e-314	1.9631275851119545e-01	3.0000861653257253e+01	5.9999854936560295e+00	8.3855419481252480e-01	4.5058136009133228e-02	1.9631275851119545e-01	1.0000000000000002e+00
6.0000000000000006e-04	2.1445238514265207e-314	1.9631275851119545e-01	3.0001075642929305e+01	5.9999854938613453e+00	8.3855419484194393e-01	4.5058135863414742e-02	1.9631275851119559e-01	1.0000000000000000e+00
6.6666666666666675e-04	2.1445238514265207e-314	1.9631275851119559e-01	3.0001313409231596e+01	5.9999854941152622e+00	8.3855419487458982e-01	4.5058135702063538e-02	1.9631275851119551e-01	1.0000000000000000e+00
7.3333333333333334e-04	2.1445238514265207e-314	1.9631275851119551e-01	3.0001574952164077e+01	5.9999854944259301e+00	8.3855419491044958e-01	4.5058135525234848e-02	1.9631275851119548e-01	1.0000000000000004e+00
8.0000000000000004e-04	2.1445238514265207e-314	1.9631275851119548e-01	3.0001860271726851e+01	5.9999854948023117e+00	8.3855419494951000e-01	4.5058135333107312e-02	1.9631275851119545e-01	1.0000000000000002e+00
8.6666666666666674e-04	2.1445238514265207e-314	1.9631275851119545e-01	3.0002169367919830e+01	5.9999854952541742e+00	8.3855419499175454e-01	4.5058135125897764e-02	1.9631275851119545e-01	1.0000000000000004e+00
