
time	REAL(psi[n])	IMAG(psi[n])	averx	deltax	averp	deltap	avg_state_energy	norm(psi)
0.0000000000000000e+00	2.1851494861002380e-314	0.0000000000000000e+00	3.0000005694569190e+01	5.9999854930547034e+00	8.3855419469449777e-01	4.5058136596556914e-02	1.9631275851119528e-01	9.9999999999999989e-01
8.3333333333333331e-05	2.1851494861002380e-314	1.9631275851119528e-01	3.0000035415356962e+01	5.9999854930696825e+00	8.3855419469860559e-01	4.5058136576035669e-02	1.9631275851119534e-01	9.9999999999999989e-01
1.6666666666666666e-04	2.1851494861002380e-314	1.9631275851119534e-01	3.0000094856932517e+01	5.9999854931009233e+00	8.3855419470681880e-01	4.5058136535025203e-02	1.9631275851119545e-01	9.9999999999999978e-01
2.5000000000000001e-04	2.1851494861002380e-314	1.9631275851119545e-01	3.0000184019295776e+01	5.9999854931509615e+00	8.3855419471913317e-01	4.5058136473574796e-02	1.9631275851119540e-01	1.0000000000000000e+00
3.3333333333333332e-04	2.1851494861002380e-314	1.9631275851119540e-01	3.0000302902446766e+01	5.9999854932236190e+00	8.3855419473554316e-01	4.5058136391760838e-02	1.9631275851119531e-01	1.0000000000000000e+00
4.1666666666666664e-04	2.1851494861002380e-314	1.9631275851119531e-01	3.0000451506385396e+01	5.9999854933239876e+00	8.3855419475604065e-01	4.5058136289689271e-02	1.9631275851119534e-01	1.0000000000000002e+00
5.0000000000000001e-04	2.1851494861002380e-314	1.9631275851119534e-01	3.0000629831111642e+01	5.9999854934584311e+00	8.3855419478061499e-01	4.5058136167498090e-02	1.9631275851119545e-01	1.0000000000000002e+00
5.8333333333333327e-04	2.1851494861002380e-314	1.9631275851119545e-01	3.0000837876625415e+01	5.9999854936345818e+00	8.3855419480925408e-01	4.5058136025347445e-02	1.9631275851119548e-01	1.0000000000000002e+00
6.6666666666666664e-04	2.1851494861002380e-314	1.9631275851119548e-01	3.0001075642926626e+01	5.9999854938613515e+00	8.3855419484194360e-01	4.5058135863422132e-02	1.9631275851119545e-01	1.0000000000000002e+00
7.5000000000000002e-04	2.1851494861002380e-314	1.9631275851119545e-01	3.0001343130015179e+01	5.9999854941489215e+00	8.3855419487866756e-01	4.5058135681930366e-02	1.9631275851119548e-01	1.0000000000000000e+00
8.3333333333333328e-04	2.1851494861002380e-314	1.9631275851119548e-01	3.0001640337890983e+01	5.9999854945087421e+00	8.3855419491940664e-01	4.5058135481129621e-02	1.9631275851119537e-01	1.0000000000000000e+00
9.1666666666666665e-04	2.1851494861002380e-314	1.9631275851119537e-01	3.0001967266553851e+01	5.9999854949535418e+00	8.3855419496414119e-01	4.5058135261274931e-02	1.9631275851119551e-01	1.0000000000000004e+00
1.0000000000000000e-03	2.1851494861002380e-314	1.9631275851119551e-01	3.0002323916003750e+01	5.9999854954973184e+00	8.3855419501284845e-01	4.5058135022665660e-02	1.9631275851119548e-01	1.0000000000000007e+00
1.0833333333333333e-03	2.1851494861002380e-314	1.9631275851119548e-01	3.0002710286240504e+01	5.9999854961553547e+00	8.3855419506550599e-01	4.5058134765602421e-02	1.9631275851119548e-01	1.0000000000000002e+00
1.1666666666666665e-03	2.1851494861002380e-314	1.9631275851119548e-01	3.0003126377263932e+01	5.9999854969441824e+00	8.3855419512208551e-01	4.5058134490458493e-02	1.9631275851119542e-01	1.0000000000000002e+00
1.2500000000000000e-03	2.1851494861002380e-314	1.9631275851119542e-01	3.0003572189073889e+01	5.9999854978816218e+00	8.3855419518255925e-01	4.5058134197599790e-02	1.9631275851119542e-01	1.0000000000000000e+00
1.3333333333333333e-03	2.1851494861002380e-314	1.9631275851119542e-01	3.0004047721670155e+01	5.9999854989867663e+00	8.3855419524689778e-01	4.5058133887415620e-02	1.9631275851119545e-01	1.0000000000000002e+00
1.4166666666666666e-03	2.1851494861002380e-314	1.9631275851119545e-01	3.0004552975052597e+01	5.9999855002799736e+00	8.3855419531506759e-01	4.5058133560364269e-02	1.9631275851119537e-01	1.0000000000000002e+00
