
tau	REAL(psi[n])	IMAG(psi[n])	averx	deltax	averp	deltap	avg_state_energy	norm(psi)
0.0000000000000000e+00	-8.5875951002673312e-02	9.5941894667475519e-02	3.0000005694569197e+01	5.9999854930547025e+00	8.3855419469449788e-01	4.5058136596556914e-02	1.9631275851119523e-01	9.9999999999999978e-01
0.0000000000000000e+00	-1.0987979960829673e-01	-1.7652925856759566e-02	3.0000005694569197e+01	5.9999854930547025e+00	8.3855419469449788e-01	4.5058136596556914e-02	1.9631275851119523e-01	9.9999999999999978e-01
0.0000000000000000e+00	-3.7942768130454718e-02	-8.6941603293963526e-02	3.0000005694569197e+01	5.9999854930547025e+00	8.3855419469449788e-01	4.5058136596556914e-02	1.9631275851119523e-01	9.9999999999999978e-01
0.0000000000000000e+00	4.4265793249233756e-02	-6.6327304149032568e-02	3.0000005694569197e+01	5.9999854930547025e+00	8.3855419469449788e-01	4.5058136596556914e-02	1.9631275851119523e-01	9.9999999999999978e-01
0.0000000000000000e+00	6.6098004210932912e-02	1.1702452874758308e-03	3.0000005694569197e+01	5.9999854930547025e+00	8.3855419469449788e-01	4.5058136596556914e-02	1.9631275851119523e-01	9.9999999999999978e-01
0.0000000000000000e+00	2.8393563305481609e-02	4.5991189413355678e-02	3.0000005694569197e+01	5.9999854930547025e+00	8.3855419469449788e-01	4.5058136596556914e-02	1.9631275851119523e-01	9.9999999999999978e-01
0.0000000000000000e+00	-1.8834884779995353e-02	3.9301125439050538e-02	3.0000005694569197e+01	5.9999854930547025e+00	8.3855419469449788e-01	4.5058136596556914e-02	1.9631275851119523e-01	9.9999999999999978e-01
0.0000000000000000e+00	-3.4390070308889971e-02	4.2825118234799025e-03	3.0000005694569197e+01	5.9999854930547025e+00	8.3855419469449788e-01	4.5058136596556914e-02	1.9631275851119523e-01	9.9999999999999978e-01
0.0000000000000000e+00	-1.7397817547099056e-02	-2.0879594809040135e-02	3.0000005694569197e+01	5.9999854930547025e+00	8.3855419469449788e-01	4.5058136596556914e-02	1.9631275851119523e-01	9.9999999999999978e-01
0.0000000000000000e+00	6.3183766542987598e-03	-2.0047631322187540e-02	3.0000005694569197e+01	5.9999854930547025e+00	8.3855419469449788e-01	4.5058136596556914e-02	1.9631275851119523e-01	9.9999999999999978e-01
0.0000000000000000e+00	1.5470983047651281e-02	-4.2065697588613091e-03	3.0000005694569197e+01	5.9999854930547025e+00	8.3855419469449788e-01	4.5058136596556914e-02	1.9631275851119523e-01	9.9999999999999978e-01
0.0000000000000000e+00	8.9504885973086534e-03	8.0830622823721311e-03	3.0000005694569197e+01	5.9999854930547025e+00	8.3855419469449788e-01	4.5058136596556914e-02	1.9631275851119523e-01	9.9999999999999978e-01
0.0000000000000000e+00	-1.4582449407398942e-03	8.8271538271283059e-03	3.0000005694569197e+01	5.9999854930547025e+00	8.3855419469449788e-01	4.5058136596556914e-02	1.9631275851119523e-01	9.9999999999999978e-01
0.0000000000000000e+00	-6.0107249590330980e-03	2.5915733343140073e-03	3.0000005694569197e+01	5.9999854930547025e+00	8.3855419469449788e-01	4.5058136596556914e-02	1.9631275851119523e-01	9.9999999999999978e-01
0.0000000000000000e+00	-3.9166821961534731e-03	-2.6390608579746448e-03	3.0000005694569197e+01	5.9999854930547025e+00	8.3855419469449788e-01	4.5058136596556914e-02	1.9631275851119523e-01	9.9999999999999978e-01
0.0000000000000000e+00	7.4359850822543371e-05	-3.3598076767282466e-03	3.0000005694569197e+01	5.9999854930547025e+00	8.3855419469449788e-01	4.5058136596556914e-02	1.9631275851119523e-01	9.9999999999999978e-01
0.0000000000000000e+00	2.0121910398923945e-03	-1.2299994383013228e-03	3.0000005694569197e+01	5.9999854930547025e+00	8.3855419469449788e-01	4.5058136596556914e-02	1.9631275851119523e-01	9.9999999999999978e-01
0.0000000000000000e+00	1.4687296904284104e-03	7.1189214531724282e-04	3.0000005694569197e+01	5.9999854930547025e+00	8.3855419469449788e-01	4.5058136596556914e-02	1.9631275851119523e-01	9.9999999999999978e-01
0.0000000000000000e+00	1.3276730574356336e-04	1.1060654188403492e-03	3.0000005694569197e+01	5.9999854930547025e+00	8.3855419469449788e-01	4.5058136596556914e-02	1.9631275851119523e-01	9.9999999999999978e-01
0.0000000000000000e+00	-5.7820068170097926e-04	4.7746309504851476e-04	3.0000005694569197e+01	5.9999854930547025e+00	8.3855419469449788e-01	4.5058136596556914e-02	1.9631275851119523e-01	9.9999999999999978e-01
0.0000000000000000e+00	-4.7409376156639309e-04	-1.5172915205414951e-04	3.0000005694569197e+01	5.9999854930547025e+00	8.3855419469449788e-01	4.5058136596556914e-02	1.9631275851119523e-01	9.9999999999999978e-01
0.0000000000000000e+00	-8.4111954374952556e-05	-3.1484517134635259e-04	3.0000005694569197e+01	5.9999854930547025e+00	8.3855419469449788e-01	4.5058136596556914e-02	1.9631275851119523e-01	9.9999999999999978e-01
0.0000000000000000e+00	1.4171158304983355e-04	-1.5552984814686362e-04	3.0000005694569197e+01	5.9999854930547025e+00	8.3855419469449788e-01	4.5058136596556914e-02	1.9631275851119523e-01	9.9999999999999978e-01
0.0000000000000000e+00	1.3208660816977800e-04	2.2421668990284980e-05	3.0000005694569197e+01	5.9999854930547025e+00	8.3855419469449788e-01	4.5058136596556914e-02	1.9631275851119523e-01	9.9999999999999978e-01
0.0000000000000000e+00	3.2967629481680016e-05	7.7403388748259147e-05	3.0000005694569197e+01	5.9999854930547025e+00	8.3855419469449788e-01	4.5058136596556914e-02	1.9631275851119523e-01	9.9999999999999978e-01
0.0000000000000000e+00	-2.9305376916274242e-05	4.3080025222179157e-05	3.0000005694569197e+01	5.9999854930547025e+00	8.3855419469449788e-01	4.5058136596556914e-02	1.9631275851119523e-01	9.9999999999999978e-01
0.0000000000000000e+00	-3.1810901339317374e-05	-8.4491401049635384e-07	3.0000005694569197e+01	5.9999854930547025e+00	8.3855419469449788e-01	4.5058136596556914e-02	1.9631275851119523e-01	9.9999999999999978e-01
0.0000000000000000e+00	-9.9243632143476909e-06	-1.6398196673349882e-05	3.0000005694569197e+01	5.9999854930547025e+00	8.3855419469449788e-01	4.5058136596556914e-02	1.9631275851119523e-01	9.9999999999999978e-01
0.0000000000000000e+00	5.0114651382319750e-06	-1.0223797807641708e-05	3.0000005694569197e+01	5.9999854930547025e+00	8.3855419469449788e-01	4.5058136596556914e-02	1.9631275851119523e-01	9.9999999999999978e-01
0.0000000000000000e+00	6.6261907136984802e-06	-7.6564670114008202e-07	3.0000005694569197e+01	5.9999854930547025e+00	8.3855419469449788e-01	4.5058136596556914e-02	1.9631275851119523e-01	9.9999999999999978e-01
0.0000000000000000e+00	2.4406632396520620e-06	2.9823926524182565e-06	3.0000005694569197e+01	5.9999854930547025e+00	8.3855419469449788e-01	4.5058136596556914e-02	1.9631275851119523e-01	9.9999999999999978e-01
0.0000000000000000e+00	-6.7855488227090377e-07	2.0883343503550778e-06	3.0000005694569197e+01	5.9999854930547025e+00	8.3855419469449788e-01	4.5058136596556914e-02	1.9631275851119523e-01	9.9999999999999978e-01
0.0000000000000000e+00	-1.1934687339057235e-06	3.1318693526285811e-07	3.0000005694569197e+01	5.9999854930547025e+00	8.3855419469449788e-01	4.5058136596556914e-02	1.9631275851119523e-01	9.9999999999999978e-01
0.0000000000000000e+00	-5.0339532649882205e-07	-4.6276447965052881e-07	3.0000005694569197e+01	5.9999854930547025e+00	8.3855419469449788e-01	4.5058136596556914e-02	1.9631275851119523e-01	9.9999999999999978e-01
0.0000000000000000e+00	6.4171999179902966e-08	-3.6815620569063957e-07	3.0000005694569197e+01	5.9999854930547025e+00	8.3855419469449788e-01	4.5058136596556914e-02	1.9631275851119523e-01	9.9999999999999978e-01
0.0000000000000000e+00	1.8566371645955239e-07	-7.8108901970498097e-08	3.0000005694569197e+01	5.9999854930547025e+00	8.3855419469449788e-01	4.5058136596556914e-02	1.9631275851119523e-01	9.9999999999999978e-01
0.0000000000000000e+00	8.8260242576217921e-08	6.0612517635774470e-08	3.0000005694569197e+01	5.9999854930547025e+00	8.3855419469449788e-01	4.5058136596556914e-02	1.9631275851119523e-01	9.9999999999999978e-01
0.0000000000000000e+00	-1.7385741478948857e-09	5.6101311568950837e-08	3.0000005694569197e+01	5.9999854930547025e+00	8.3855419469449788e-01	4.5058136596556914e-02	1.9631275851119523e-01	9.9999999999999978e-01
0.0000000000000000e+00	-2.4891745058315433e-08	1.4914635764879262e-08	3.0000005694569197e+01	5.9999854930547025e+00	8.3855419469449788e-01	4.5058136596556914e-02	1.9631275851119523e-01	9.9999999999999978e-01
0.0000000000000000e+00	-1.3256109253025382e-08	-6.5707555260056200e-09	3.0000005694569197e+01	5.9999854930547025e+00	8.3855419469449788e-01	4.5058136596556914e-02	1.9631275851119523e-01	9.9999999999999978e-01
0.0000000000000000e+00	-8.2122763632132598e-10	-7.3940506572201828e-09	3.0000005694569197e+01	5.9999854930547025e+00	8.3855419469449788e-01	4.5058136596556914e-02	1.9631275851119523e-01	9.9999999999999978e-01
0.0000000000000000e+00	2.8653708363289245e-09	-2.3237997509157209e-09	3.0000005694569197e+01	5.9999854930547025e+00	8.3855419469449788e-01	4.5058136596556914e-02	1.9631275851119523e-01	9.9999999999999978e-01
0.0000000000000000e+00	1.7134459594759531e-09	5.6513971622087831e-10	3.0000005694569197e+01	5.9999854930547025e+00	8.3855419469449788e-01	4.5058136596556914e-02	1.9631275851119523e-01	9.9999999999999978e-01
0.0000000000000000e+00	2.1715080332175883e-10	8.4267466167357965e-10	3.0000005694569197e+01	5.9999854930547025e+00	8.3855419469449788e-01	4.5058136596556914e-02	1.9631275851119523e-01	9.9999999999999978e-01
0.0000000000000000e+00	-2.8147520553672548e-10	3.0348196349112737e-10	3.0000005694569197e+01	5.9999854930547025e+00	8.3855419469449788e-01	4.5058136596556914e-02	1.9631275851119523e-01	9.9999999999999978e-01
0.0000000000000000e+00	-1.9113519655888923e-10	-3.4188351295282558e-11	3.0000005694569197e+01	5.9999854930547025e+00	8.3855419469449788e-01	4.5058136596556914e-02	1.9631275851119523e-01	9.9999999999999978e-01
0.0000000000000000e+00	-3.4466761069150098e-11	-8.2952195539904161e-11	3.0000005694569197e+01	5.9999854930547025e+00	8.3855419469449788e-01	4.5058136596556914e-02	1.9631275851119523e-01	9.9999999999999978e-01
0.0000000000000000e+00	2.3350415618166993e-11	-3.3681020365879001e-11	3.0000005694569197e+01	5.9999854930547025e+00	8.3855419469449788e-01	4.5058136596556914e-02	1.9631275851119523e-01	9.9999999999999978e-01
0.0000000000000000e+00	1.8429155637442400e-11	6.5273598492100202e-13	3.0000005694569197e+01	5.9999854930547025e+00	8.3855419469449788e-01	4.5058136596556914e-02	1.9631275851119523e-01	9.9999999999999978e-01
0.0000000000000000e+00	4.1747528511083289e-12	7.0379257977037923e-12	3.0000005694569197e+01	5.9999854930547025e+00	8.3855419469449788e-01	4.5058136596556914e-02	1.9631275851119523e-01	9.9999999999999978e-01
0.0000000000000000e+00	-1.6046104615970062e-12	3.2014903548717765e-12	3.0000005694569197e+01	5.9999854930547025e+00	8.3855419469449788e-01	4.5058136596556914e-02	1.9631275851119523e-01	9.9999999999999978e-01
0.0000000000000000e+00	-1.5368629445989568e-12	1.6385525415129310e-13	3.0000005694569197e+01	5.9999854930547025e+00	8.3855419469449788e-01	4.5058136596556914e-02	1.9631275851119523e-01	9.9999999999999978e-01
0.0000000000000000e+00	-4.1207379389071809e-13	-5.1273856955119225e-13	3.0000005694569197e+01	5.9999854930547025e+00	8.3855419469449788e-01	4.5058136596556914e-02	1.9631275851119523e-01	9.9999999999999978e-01
0.0000000000000000e+00	8.7697370732852363e-14	-2.6184866241097693e-13	3.0000005694569197e+01	5.9999854930547025e+00	8.3855419469449788e-01	4.5058136596556914e-02	1.9631275851119523e-01	9.9999999999999978e-01
0.0000000000000000e+00	1.1083100249519562e-13	-2.8011780929003951e-14	3.0000005694569197e+01	5.9999854930547025e+00	8.3855419469449788e-01	4.5058136596556914e-02	1.9631275851119523e-01	9.9999999999999978e-01
0.0000000000000000e+00	3.4073598643457302e-14	3.1947094542444505e-14	3.0000005694569197e+01	5.9999854930547025e+00	8.3855419469449788e-01	4.5058136596556914e-02	1.9631275851119523e-01	9.9999999999999978e-01
0.0000000000000000e+00	-3.4024065616204799e-15	1.8460446846382604e-14	3.0000005694569197e+01	5.9999854930547025e+00	8.3855419469449788e-01	4.5058136596556914e-02	1.9631275851119523e-01	9.9999999999999978e-01
0.0000000000000000e+00	-6.9141273902809748e-15	2.8421709430404009e-15	3.0000005694569197e+01	5.9999854930547025e+00	8.3855419469449788e-01	4.5058136596556914e-02	1.9631275851119523e-01	9.9999999999999978e-01
0.0000000000000000e+00	-2.3844174498103360e-15	-1.6943711391202390e-15	3.0000005694569197e+01	5.9999854930547025e+00	8.3855419469449788e-01	4.5058136596556914e-02	1.9631275851119523e-01	9.9999999999999978e-01
0.0000000000000000e+00	2.7328566760003855e-17	-1.1751283706801657e-15	3.0000005694569197e+01	5.9999854930547025e+00	8.3855419469449788e-01	4.5058136596556914e-02	1.9631275851119523e-01	9.9999999999999978e-01
0.0000000000000000e+00	4.0992850140005782e-16	-2.0496425070002891e-16	3.0000005694569197e+01	5.9999854930547025e+00	8.3855419469449788e-01	4.5058136596556914e-02	1.9631275851119523e-01	9.9999999999999978e-01
0.0000000000000000e+00	1.5713925887002217e-16	1.2297855042001735e-16	3.0000005694569197e+01	5.9999854930547025e+00	8.3855419469449788e-01	4.5058136596556914e-02	1.9631275851119523e-01	9.9999999999999978e-01
0.0000000000000000e+00	5.4657133520007710e-17	8.1985700280011564e-17	3.0000005694569197e+01	5.9999854930547025e+00	8.3855419469449788e-01	4.5058136596556914e-02	1.9631275851119523e-01	9.9999999999999978e-01
0.0000000000000000e+00	-5.4657133520007710e-17	1.3664283380001927e-17	3.0000005694569197e+01	5.9999854930547025e+00	8.3855419469449788e-01	4.5058136596556914e-02	1.9631275851119523e-01	9.9999999999999978e-01
0.0000000000000000e+00	0.0000000000000000e+00	-2.7328566760003855e-17	3.0000005694569197e+01	5.9999854930547025e+00	8.3855419469449788e-01	4.5058136596556914e-02	1.9631275851119523e-01	9.9999999999999978e-01
0.0000000000000000e+00	6.8321416900009637e-18	-9.5649983660013492e-17	3.0000005694569197e+01	5.9999854930547025e+00	8.3855419469449788e-01	4.5058136596556914e-02	1.9631275851119523e-01	9.9999999999999978e-01
0.0000000000000000e+00	1.3664283380001927e-17	-2.7328566760003855e-17	3.0000005694569197e+01	5.9999854930547025e+00	8.3855419469449788e-01	4.5058136596556914e-02	1.9631275851119523e-01	9.9999999999999978e-01
0.0000000000000000e+00	4.7824991830006746e-17	3.4160708450004819e-17	3.0000005694569197e+01	5.9999854930547025e+00	8.3855419469449788e-01	4.5058136596556914e-02	1.9631275851119523e-01	9.9999999999999978e-01
0.0000000000000000e+00	-1.0248212535001446e-17	4.7824991830006746e-17	3.0000005694569197e+01	5.9999854930547025e+00	8.3855419469449788e-01	4.5058136596556914e-02	1.9631275851119523e-01	9.9999999999999978e-01
0.0000000000000000e+00	1.3664283380001927e-17	5.2949098097507469e-17	3.0000005694569197e+01	5.9999854930547025e+00	8.3855419469449788e-01	4.5058136596556914e-02	1.9631275851119523e-01	9.9999999999999978e-01
0.0000000000000000e+00	3.4160708450004819e-17	-2.0496425070002891e-17	3.0000005694569197e+01	5.9999854930547025e+00	8.3855419469449788e-01	4.5058136596556914e-02	1.9631275851119523e-01	9.9999999999999978e-01
0.0000000000000000e+00	-3.7576779295005300e-17	-4.7824991830006746e-17	3.0000005694569197e+01	5.9999854930547025e+00	8.3855419469449788e-01	4.5058136596556914e-02	1.9631275851119523e-01	9.9999999999999978e-01
0.0000000000000000e+00	0.0000000000000000e+00	-8.5401771125012046e-18	3.0000005694569197e+01	5.9999854930547025e+00	8.3855419469449788e-01	4.5058136596556914e-02	1.9631275851119523e-01	9.9999999999999978e-01
0.0000000000000000e+00	-3.0744637605004337e-17	6.8321416900009637e-18	3.0000005694569197e+01	5.9999854930547025e+00	8.3855419469449788e-01	4.5058136596556914e-02	1.9631275851119523e-01	9.9999999999999978e-01
