
time	REAL(psi[n])	IMAG(psi[n])	averx	deltax	averp	deltap	avg_state_energy	norm(psi)
0.0000000000000000e+00	2.2720084084330212e-314	0.0000000000000000e+00	3.0000005694569197e+01	5.9999854930547025e+00	8.3855419469449788e-01	4.5058136596556914e-02	1.9631275851119523e-01	9.9999999999999978e-01
1.0000000000000000e-04	2.2720084084330212e-314	1.9631275851119523e-01	3.0000041359514501e+01	5.9999854930727281e+00	8.3855419469942605e-01	4.5058136571949160e-02	1.9631275851119534e-01	1.0000000000000002e+00
2.0000000000000001e-04	2.2720084084330212e-314	1.9631275851119534e-01	3.0000112689405181e+01	5.9999854931106222e+00	8.3855419470928194e-01	4.5058136522727485e-02	1.9631275851119531e-01	1.0000000000000000e+00
3.0000000000000003e-04	2.2720084084330212e-314	1.9631275851119531e-01	3.0000219684241191e+01	5.9999854931720433e+00	8.3855419472405723e-01	4.5058136449018779e-02	1.9631275851119534e-01	1.0000000000000000e+00
4.0000000000000002e-04	2.2720084084330212e-314	1.9631275851119534e-01	3.0000362344022538e+01	5.9999854932624928e+00	8.3855419474374449e-01	4.5058136350899440e-02	1.9631275851119540e-01	1.0000000000000000e+00
5.0000000000000001e-04	2.2720084084330212e-314	1.9631275851119540e-01	3.0000540668749228e+01	5.9999854933892962e+00	8.3855419476833082e-01	4.5058136228559184e-02	1.9631275851119545e-01	1.0000000000000000e+00
6.0000000000000006e-04	2.2720084084330212e-314	1.9631275851119545e-01	3.0000754658421251e+01	5.9999854935616224e+00	8.3855419479780247e-01	4.5058136082158175e-02	1.9631275851119542e-01	1.0000000000000000e+00
6.9999999999999999e-04	2.2720084084330212e-314	1.9631275851119542e-01	3.0001004313038610e+01	5.9999854937904660e+00	8.3855419483214122e-01	4.5058135911937879e-02	1.9631275851119540e-01	1.0000000000000002e+00
8.0000000000000004e-04	2.2720084084330212e-314	1.9631275851119540e-01	3.0001289632601345e+01	5.9999854940886523e+00	8.3855419487132676e-01	4.5058135718176733e-02	1.9631275851119545e-01	1.0000000000000002e+00
9.0000000000000008e-04	2.2720084084330212e-314	1.9631275851119545e-01	3.0001610617109431e+01	5.9999854944708435e+00	8.3855419491533534e-01	4.5058135501180256e-02	1.9631275851119540e-01	1.0000000000000000e+00
1.0000000000000000e-03	2.2720084084330212e-314	1.9631275851119540e-01	3.0001967266562872e+01	5.9999854949535356e+00	8.3855419496414108e-01	4.5058135261274931e-02	1.9631275851119553e-01	1.0000000000000002e+00
