
time	REAL(psi[n])	IMAG(psi[n])	averx	deltax	averp	deltap	avg_state_energy	norm(psi)
0.0000000000000000e+00	2.2029539361056859e-314	0.0000000000000000e+00	3.0000005694569197e+01	5.9999854930547025e+00	8.3855419469449788e-01	4.5058136596556914e-02	1.9631275851119523e-01	9.9999999999999978e-01
8.3333333333333331e-05	2.2029539361056859e-314	1.9631275851119523e-01	3.0000035415356962e+01	5.9999854930696817e+00	8.3855419469860537e-01	4.5058136576035669e-02	1.9631275851119526e-01	1.0000000000000000e+00
1.6666666666666666e-04	2.2029539361056859e-314	1.9631275851119526e-01	3.0000094856932527e+01	5.9999854931009224e+00	8.3855419470681880e-01	4.5058136535021505e-02	1.9631275851119542e-01	9.9999999999999989e-01
2.5000000000000001e-04	2.2029539361056859e-314	1.9631275851119542e-01	3.0000184019295865e+01	5.9999854931509606e+00	8.3855419471913339e-01	4.5058136473574796e-02	1.9631275851119540e-01	1.0000000000000000e+00
3.3333333333333332e-04	2.2029539361056859e-314	1.9631275851119540e-01	3.0000302902446975e+01	5.9999854932236190e+00	8.3855419473554316e-01	4.5058136391762066e-02	1.9631275851119540e-01	1.0000000000000000e+00
4.1666666666666664e-04	2.2029539361056859e-314	1.9631275851119540e-01	3.0000451506385865e+01	5.9999854933239849e+00	8.3855419475604087e-01	4.5058136289685580e-02	1.9631275851119531e-01	1.0000000000000000e+00
5.0000000000000001e-04	2.2029539361056859e-314	1.9631275851119531e-01	3.0000629831112573e+01	5.9999854934584276e+00	8.3855419478061533e-01	4.5058136167494392e-02	1.9631275851119542e-01	1.0000000000000000e+00
5.8333333333333327e-04	2.2029539361056859e-314	1.9631275851119542e-01	3.0000837876627028e+01	5.9999854936345765e+00	8.3855419480925419e-01	4.5058136025344982e-02	1.9631275851119542e-01	1.0000000000000002e+00
6.6666666666666664e-04	2.2029539361056859e-314	1.9631275851119542e-01	3.0001075642929312e+01	5.9999854938613479e+00	8.3855419484194393e-01	4.5058135863413513e-02	1.9631275851119542e-01	1.0000000000000000e+00
7.5000000000000002e-04	2.2029539361056859e-314	1.9631275851119542e-01	3.0001343130019364e+01	5.9999854941489135e+00	8.3855419487866756e-01	4.5058135681929130e-02	1.9631275851119545e-01	1.0000000000000000e+00
8.3333333333333328e-04	2.2029539361056859e-314	1.9631275851119545e-01	3.0001640337897236e+01	5.9999854945087350e+00	8.3855419491940697e-01	4.5058135481122231e-02	1.9631275851119542e-01	9.9999999999999989e-01
9.1666666666666665e-04	2.2029539361056859e-314	1.9631275851119542e-01	3.0001967266562875e+01	5.9999854949535347e+00	8.3855419496414130e-01	4.5058135261268770e-02	1.9631275851119553e-01	1.0000000000000002e+00
1.0000000000000000e-03	2.2029539361056859e-314	1.9631275851119553e-01	3.0002323916016358e+01	5.9999854954973149e+00	8.3855419501284900e-01	4.5058135022659498e-02	1.9631275851119540e-01	1.0000000000000000e+00
1.0833333333333333e-03	2.2029539361056859e-314	1.9631275851119540e-01	3.0002710286257617e+01	5.9999854961553458e+00	8.3855419506550588e-01	4.5058134765599951e-02	1.9631275851119540e-01	1.0000000000000002e+00
1.1666666666666665e-03	2.2029539361056859e-314	1.9631275851119540e-01	3.0003126377286726e+01	5.9999854969441744e+00	8.3855419512208551e-01	4.5058134490457265e-02	1.9631275851119545e-01	1.0000000000000002e+00
1.2500000000000000e-03	2.2029539361056859e-314	1.9631275851119545e-01	3.0003572189103640e+01	5.9999854978816156e+00	8.3855419518255925e-01	4.5058134197597327e-02	1.9631275851119542e-01	1.0000000000000002e+00
1.3333333333333333e-03	2.2029539361056859e-314	1.9631275851119542e-01	3.0004047721708371e+01	5.9999854989867591e+00	8.3855419524689723e-01	4.5058133887419312e-02	1.9631275851119556e-01	1.0000000000000004e+00
1.4166666666666666e-03	2.2029539361056859e-314	1.9631275851119556e-01	3.0004552975100960e+01	5.9999855002799647e+00	8.3855419531506736e-01	4.5058133560364269e-02	1.9631275851119559e-01	1.0000000000000004e+00
1.5000000000000000e-03	2.2029539361056859e-314	1.9631275851119559e-01	3.0005087949281400e+01	5.9999855017828709e+00	8.3855419538703535e-01	4.5058133216880646e-02	1.9631275851119559e-01	1.0000000000000004e+00
1.5833333333333333e-03	2.2029539361056859e-314	1.9631275851119559e-01	3.0005652644249675e+01	5.9999855035183840e+00	8.3855419546276644e-01	4.5058132857434131e-02	1.9631275851119562e-01	1.0000000000000004e+00
1.6666666666666666e-03	2.2029539361056859e-314	1.9631275851119562e-01	3.0006247060005823e+01	5.9999855055106828e+00	8.3855419554222188e-01	4.5058132482571726e-02	1.9631275851119562e-01	1.0000000000000004e+00
1.7500000000000000e-03	2.2029539361056859e-314	1.9631275851119562e-01	3.0006871196549834e+01	5.9999855077852242e+00	8.3855419562536304e-01	4.5058132092781297e-02	1.9631275851119565e-01	1.0000000000000002e+00
1.8333333333333333e-03	2.2029539361056859e-314	1.9631275851119565e-01	3.0007525053881722e+01	5.9999855103687247e+00	8.3855419571214729e-01	4.5058131688666521e-02	1.9631275851119573e-01	1.0000000000000004e+00
1.9166666666666666e-03	2.2029539361056859e-314	1.9631275851119573e-01	3.0008208632001487e+01	5.9999855132891922e+00	8.3855419580253421e-01	4.5058131270779331e-02	1.9631275851119559e-01	1.0000000000000002e+00
2.0000000000000000e-03	2.2029539361056859e-314	1.9631275851119559e-01	3.0008921930909139e+01	5.9999855165758840e+00	8.3855419589647662e-01	4.5058130839762824e-02	1.9631275851119573e-01	1.0000000000000004e+00
2.0833333333333333e-03	2.2029539361056859e-314	1.9631275851119573e-01	3.0009664950604719e+01	5.9999855202593544e+00	8.3855419599392989e-01	4.5058130396245309e-02	1.9631275851119576e-01	1.0000000000000004e+00
2.1666666666666666e-03	2.2029539361056859e-314	1.9631275851119576e-01	3.0010437691088200e+01	5.9999855243714073e+00	8.3855419609484538e-01	4.5058129940883450e-02	1.9631275851119576e-01	1.0000000000000004e+00
2.2499999999999998e-03	2.2029539361056859e-314	1.9631275851119576e-01	3.0011240152359601e+01	5.9999855289451371e+00	8.3855419619917415e-01	4.5058129474373307e-02	1.9631275851119581e-01	1.0000000000000004e+00
2.3333333333333331e-03	2.2029539361056859e-314	1.9631275851119581e-01	3.0012072334418935e+01	5.9999855340148951e+00	8.3855419630686501e-01	4.5058128997440522e-02	1.9631275851119581e-01	1.0000000000000004e+00
2.4166666666666668e-03	2.2029539361056859e-314	1.9631275851119581e-01	3.0012934237266233e+01	5.9999855396163255e+00	8.3855419641786677e-01	4.5058128510793494e-02	1.9631275851119592e-01	1.0000000000000004e+00
2.5000000000000001e-03	2.2029539361056859e-314	1.9631275851119592e-01	3.0013825860901473e+01	5.9999855457863243e+00	8.3855419653212471e-01	4.5058128015224394e-02	1.9631275851119603e-01	1.0000000000000004e+00
2.5833333333333333e-03	2.2029539361056859e-314	1.9631275851119603e-01	3.0014747205324689e+01	5.9999855525630625e+00	8.3855419664958430e-01	4.5058127511497056e-02	1.9631275851119609e-01	1.0000000000000007e+00
