
time	REAL(psi[n])	IMAG(psi[n])	averx	deltax	averp	deltap	avg_state_energy	norm(psi)
0.0000000000000000e+00	2.2121151937977366e-314	0.0000000000000000e+00	3.0000005694569190e+01	5.9999854930547034e+00	8.3855419469449777e-01	4.5058136596556914e-02	1.9631275851119528e-01	9.9999999999999989e-01
1.0000000000000000e-04	2.2121151937977366e-314	1.9631275851119528e-01	3.0000041359514505e+01	5.9999854930727308e+00	8.3855419469942638e-01	4.5058136571946697e-02	1.9631275851119540e-01	1.0000000000000000e+00
2.0000000000000001e-04	2.2121151937977366e-314	1.9631275851119540e-01	3.0000112689405146e+01	5.9999854931106249e+00	8.3855419470928239e-01	4.5058136522723786e-02	1.9631275851119531e-01	9.9999999999999978e-01
3.0000000000000003e-04	2.2121151937977366e-314	1.9631275851119531e-01	3.0000219684241067e+01	5.9999854931720460e+00	8.3855419472405734e-01	4.5058136449013853e-02	1.9631275851119528e-01	9.9999999999999978e-01
4.0000000000000002e-04	2.2121151937977366e-314	1.9631275851119528e-01	3.0000362344022189e+01	5.9999854932624963e+00	8.3855419474374449e-01	4.5058136350904367e-02	1.9631275851119517e-01	9.9999999999999967e-01
5.0000000000000001e-04	2.2121151937977366e-314	1.9631275851119517e-01	3.0000540668748414e+01	5.9999854933892989e+00	8.3855419476833093e-01	4.5058136228555493e-02	1.9631275851119534e-01	9.9999999999999989e-01
6.0000000000000006e-04	2.2121151937977366e-314	1.9631275851119534e-01	3.0000754658419673e+01	5.9999854935616268e+00	8.3855419479780280e-01	4.5058136082152020e-02	1.9631275851119531e-01	9.9999999999999956e-01
6.9999999999999999e-04	2.2121151937977366e-314	1.9631275851119531e-01	3.0001004313035818e+01	5.9999854937904695e+00	8.3855419483214055e-01	4.5058135911950202e-02	1.9631275851119526e-01	9.9999999999999978e-01
8.0000000000000004e-04	2.2121151937977366e-314	1.9631275851119526e-01	3.0001289632596723e+01	5.9999854940886586e+00	8.3855419487132699e-01	4.5058135718175497e-02	1.9631275851119526e-01	9.9999999999999967e-01
9.0000000000000008e-04	2.2121151937977366e-314	1.9631275851119526e-01	3.0001610617102180e+01	5.9999854944708488e+00	8.3855419491533556e-01	4.5058135501174094e-02	1.9631275851119523e-01	9.9999999999999978e-01
1.0000000000000000e-03	2.2121151937977366e-314	1.9631275851119523e-01	3.0001967266552061e+01	5.9999854949535418e+00	8.3855419496414096e-01	4.5058135261277395e-02	1.9631275851119528e-01	9.9999999999999989e-01
1.1000000000000001e-03	2.2121151937977366e-314	1.9631275851119528e-01	3.0002359580946141e+01	5.9999854955550633e+00	8.3855419501771489e-01	4.5058134998863623e-02	1.9631275851119526e-01	9.9999999999999978e-01
