
tau	REAL(psi[n])	IMAG(psi[n])	averx	deltax	averp	deltap	avg_state_energy	norm(psi)
0.000000000000e+00	8.804509063256e-02	6.832141690001e-18	6.400000000000e+01	3.723797345005e+01	8.349479539179e-01	6.191461104015e-02	2.748169658010e-01	1.000000000000e+00
0.000000000000e+00	4.757096548914e-02	7.408738912208e-02	6.400000000000e+01	3.723797345005e+01	8.349479539179e-01	6.191461104015e-02	2.748169658010e-01	1.000000000000e+00
0.000000000000e+00	-3.663968594025e-02	8.005917435682e-02	6.400000000000e+01	3.723797345005e+01	8.349479539179e-01	6.191461104015e-02	2.748169658010e-01	1.000000000000e+00
0.000000000000e+00	-8.716397908874e-02	1.242492389970e-02	6.400000000000e+01	3.723797345005e+01	8.349479539179e-01	6.191461104015e-02	2.748169658010e-01	1.000000000000e+00
0.000000000000e+00	-5.755011184033e-02	-6.663274429034e-02	6.400000000000e+01	3.723797345005e+01	8.349479539179e-01	6.191461104015e-02	2.748169658010e-01	1.000000000000e+00
0.000000000000e+00	2.497506282814e-02	-8.442857467248e-02	6.400000000000e+01	3.723797345005e+01	8.349479539179e-01	6.191461104015e-02	2.748169658010e-01	1.000000000000e+00
0.000000000000e+00	8.453827991082e-02	-2.460116286307e-02	6.400000000000e+01	3.723797345005e+01	8.349479539179e-01	6.191461104015e-02	2.748169658010e-01	1.000000000000e+00
0.000000000000e+00	6.637739231175e-02	5.784444462857e-02	6.400000000000e+01	3.723797345005e+01	8.349479539179e-01	6.191461104015e-02	2.748169658010e-01	1.000000000000e+00
0.000000000000e+00	-1.281056366372e-02	8.710813649203e-02	6.400000000000e+01	3.723797345005e+01	8.349479539179e-01	6.191461104015e-02	2.748169658010e-01	1.000000000000e+00
0.000000000000e+00	-8.022054648571e-02	3.628500938446e-02	6.400000000000e+01	3.723797345005e+01	8.349479539179e-01	6.191461104015e-02	2.748169658010e-01	1.000000000000e+00
0.000000000000e+00	-7.387612882474e-02	-4.789838801428e-02	6.400000000000e+01	3.723797345005e+01	8.349479539179e-01	6.191461104015e-02	2.748169658010e-01	1.000000000000e+00
0.000000000000e+00	3.896609804702e-04	-8.804422836743e-02	6.400000000000e+01	3.723797345005e+01	8.349479539179e-01	6.191461104015e-02	2.748169658010e-01	1.000000000000e+00
0.000000000000e+00	7.429719827725e-02	-4.724261119633e-02	6.400000000000e+01	3.723797345005e+01	8.349479539179e-01	6.191461104015e-02	2.748169658010e-01	1.000000000000e+00
0.000000000000e+00	7.989623411701e-02	3.699364483822e-02	6.400000000000e+01	3.723797345005e+01	8.349479539179e-01	6.191461104015e-02	2.748169658010e-01	1.000000000000e+00
0.000000000000e+00	1.203904076995e-02	8.721811441344e-02	6.400000000000e+01	3.723797345005e+01	8.349479539179e-01	6.191461104015e-02	2.748169658010e-01	1.000000000000e+00
0.000000000000e+00	-6.688679114012e-02	5.725465182389e-02	6.400000000000e+01	3.723797345005e+01	8.349479539179e-01	6.191461104015e-02	2.748169658010e-01	1.000000000000e+00
0.000000000000e+00	-8.431721574021e-02	-2.534847360919e-02	6.400000000000e+01	3.723797345005e+01	8.349479539179e-01	6.191461104015e-02	2.748169658010e-01	1.000000000000e+00
0.000000000000e+00	-2.422678103751e-02	-8.464632930645e-02	6.400000000000e+01	3.723797345005e+01	8.349479539179e-01	6.191461104015e-02	2.748169658010e-01	1.000000000000e+00
