
time	REAL(psi[n])	IMAG(psi[n])	averx	deltax	averp	deltap	avg_state_energy	norm(psi)
0.0000000000000000e+00	2.2752240564278674e-314	0.0000000000000000e+00	3.0000005694569197e+01	5.9999854930547025e+00	8.3855419469449788e-01	4.5058136596556914e-02	1.9631275851119523e-01	9.9999999999999978e-01
5.0000000000000002e-05	2.2752240564278674e-314	1.9631275851119523e-01	3.0000023527041861e+01	5.9999854930636412e+00	8.3855419469696246e-01	4.5058136584248107e-02	1.9631275851119534e-01	9.9999999999999978e-01
1.0000000000000000e-04	2.2752240564278674e-314	1.9631275851119534e-01	3.0000059191987187e+01	5.9999854930819740e+00	8.3855419470189074e-01	4.5058136559636655e-02	1.9631275851119534e-01	9.9999999999999989e-01
1.5000000000000001e-04	2.2752240564278674e-314	1.9631275851119534e-01	3.0000112689405178e+01	5.9999854931106205e+00	8.3855419470928183e-01	4.5058136522731176e-02	1.9631275851119531e-01	9.9999999999999989e-01
2.0000000000000001e-04	2.2752240564278674e-314	1.9631275851119531e-01	3.0000184019295855e+01	5.9999854931509606e+00	8.3855419471913328e-01	4.5058136473573568e-02	1.9631275851119531e-01	9.9999999999999989e-01
2.5000000000000001e-04	2.2752240564278674e-314	1.9631275851119531e-01	3.0000273181659178e+01	5.9999854932048171e+00	8.3855419473144166e-01	4.5058136412199544e-02	1.9631275851119531e-01	1.0000000000000000e+00
3.0000000000000003e-04	2.2752240564278674e-314	1.9631275851119531e-01	3.0000380176495195e+01	5.9999854932744849e+00	8.3855419474620441e-01	4.5058136338651002e-02	1.9631275851119542e-01	9.9999999999999989e-01
3.5000000000000000e-04	2.2752240564278674e-314	1.9631275851119542e-01	3.0000505003803870e+01	5.9999854933627121e+00	8.3855419476341553e-01	4.5058136252999398e-02	1.9631275851119523e-01	1.0000000000000000e+00
4.0000000000000002e-04	2.2752240564278674e-314	1.9631275851119523e-01	3.0000647663585237e+01	5.9999854934727086e+00	8.3855419478307069e-01	4.5058136155301395e-02	1.9631275851119526e-01	1.0000000000000000e+00
4.5000000000000004e-04	2.2752240564278674e-314	1.9631275851119526e-01	3.0000808155839245e+01	5.9999854936081372e+00	8.3855419480516447e-01	4.5058136045637083e-02	1.9631275851119537e-01	1.0000000000000000e+00
5.0000000000000001e-04	2.2752240564278674e-314	1.9631275851119537e-01	3.0000986480565945e+01	5.9999854937731243e+00	8.3855419482968974e-01	4.5058135924082837e-02	1.9631275851119531e-01	1.0000000000000000e+00
5.5000000000000003e-04	2.2752240564278674e-314	1.9631275851119531e-01	3.0001182637765311e+01	5.9999854939722477e+00	8.3855419485663973e-01	4.5058135790735983e-02	1.9631275851119531e-01	1.0000000000000000e+00
6.0000000000000006e-04	2.2752240564278674e-314	1.9631275851119531e-01	3.0001396627437369e+01	5.9999854942105468e+00	8.3855419488600558e-01	4.5058135645714800e-02	1.9631275851119534e-01	9.9999999999999989e-01
6.5000000000000008e-04	2.2752240564278674e-314	1.9631275851119534e-01	3.0001628449582114e+01	5.9999854944935276e+00	8.3855419491777838e-01	4.5058135489141254e-02	1.9631275851119531e-01	9.9999999999999989e-01
6.9999999999999999e-04	2.2752240564278674e-314	1.9631275851119531e-01	3.0001878104199513e+01	5.9999854948271345e+00	8.3855419495194883e-01	4.5058135321129913e-02	1.9631275851119537e-01	1.0000000000000000e+00
7.5000000000000002e-04	2.2752240564278674e-314	1.9631275851119537e-01	3.0002145591289612e+01	5.9999854952177909e+00	8.3855419498850725e-01	4.5058135141803977e-02	1.9631275851119537e-01	1.0000000000000000e+00
8.0000000000000004e-04	2.2752240564278674e-314	1.9631275851119537e-01	3.0002430910852379e+01	5.9999854956723615e+00	8.3855419502744244e-01	4.5058134951323610e-02	1.9631275851119542e-01	1.0000000000000000e+00
8.5000000000000006e-04	2.2752240564278674e-314	1.9631275851119542e-01	3.0002734062887853e+01	5.9999854961981836e+00	8.3855419506874307e-01	4.5058134749828026e-02	1.9631275851119540e-01	1.0000000000000000e+00
9.0000000000000008e-04	2.2752240564278674e-314	1.9631275851119540e-01	3.0003055047396007e+01	5.9999854968030393e+00	8.3855419511239537e-01	4.5058134537503250e-02	1.9631275851119540e-01	1.0000000000000002e+00
9.5000000000000000e-04	2.2752240564278674e-314	1.9631275851119540e-01	3.0003393864376871e+01	5.9999854974951843e+00	8.3855419515838880e-01	4.5058134314486034e-02	1.9631275851119540e-01	9.9999999999999989e-01
1.0000000000000000e-03	2.2752240564278674e-314	1.9631275851119540e-01	3.0003750513830408e+01	5.9999854982833130e+00	8.3855419520670649e-01	4.5058134081005528e-02	1.9631275851119537e-01	1.0000000000000002e+00
1.0500000000000002e-03	2.2752240564278674e-314	1.9631275851119537e-01	3.0004124995756658e+01	5.9999854991765957e+00	8.3855419525733610e-01	4.5058133837230521e-02	1.9631275851119548e-01	1.0000000000000002e+00
1.1000000000000001e-03	2.2752240564278674e-314	1.9631275851119548e-01	3.0004517310155599e+01	5.9999855001846552e+00	8.3855419531026154e-01	4.5058133583372913e-02	1.9631275851119542e-01	1.0000000000000002e+00
1.1500000000000000e-03	2.2752240564278674e-314	1.9631275851119542e-01	3.0004927457027257e+01	5.9999855013175640e+00	8.3855419536546794e-01	4.5058133319619956e-02	1.9631275851119545e-01	1.0000000000000002e+00
1.2000000000000001e-03	2.2752240564278674e-314	1.9631275851119545e-01	3.0005355436371648e+01	5.9999855025858642e+00	8.3855419542293874e-01	4.5058133046209432e-02	1.9631275851119542e-01	1.0000000000000000e+00
1.2500000000000000e-03	2.2752240564278674e-314	1.9631275851119542e-01	3.0005801248188721e+01	5.9999855040005476e+00	8.3855419548265553e-01	4.5058132763388971e-02	1.9631275851119548e-01	1.0000000000000000e+00
1.3000000000000002e-03	2.2752240564278674e-314	1.9631275851119548e-01	3.0006264892478491e+01	5.9999855055730711e+00	8.3855419554460087e-01	4.5058132471380331e-02	1.9631275851119540e-01	1.0000000000000004e+00
