
time	REAL(psi[n])	IMAG(psi[n])	averx	deltax	averp	deltap	avg_state_energy	norm(psi)
1.3333333333333335e-03	2.3645255760732870e-314	1.9631275851119517e-01	3.0004998786871319e+01	5.9999855015228496e+00	8.3855419537505593e-01	4.5058133273922996e-02	1.9631275851119509e-01	9.9999999999999978e-01
1.4000000000000000e-03	2.3645255760732870e-314	1.9631275851119509e-01	3.0005498096096638e+01	5.9999855030281912e+00	8.3855419544206455e-01	4.5058132955488182e-02	1.9631275851119515e-01	9.9999999999999967e-01
1.4666666666666667e-03	2.3645255760732870e-314	1.9631275851119515e-01	3.0006021181950754e+01	5.9999855047336315e+00	8.3855419551206045e-01	4.5058132624597950e-02	1.9631275851119515e-01	9.9999999999999956e-01
1.5333333333333334e-03	2.3645255760732870e-314	1.9631275851119515e-01	3.0006568044433568e+01	5.9999855066570920e+00	8.3855419558501698e-01	4.5058132281612040e-02	1.9631275851119503e-01	9.9999999999999978e-01
1.6000000000000001e-03	2.3645255760732870e-314	1.9631275851119503e-01	3.0007138683544937e+01	5.9999855088173071e+00	8.3855419566090494e-01	4.5058131926934551e-02	1.9631275851119512e-01	9.9999999999999944e-01
1.6666666666666668e-03	2.3645255760732870e-314	1.9631275851119512e-01	3.0007733099284678e+01	5.9999855112338203e+00	8.3855419573969425e-01	4.5058131560976954e-02	1.9631275851119506e-01	9.9999999999999944e-01
1.7333333333333335e-03	2.3645255760732870e-314	1.9631275851119506e-01	3.0008351291652673e+01	5.9999855139269913e+00	8.3855419582135315e-01	4.5058131184169230e-02	1.9631275851119512e-01	9.9999999999999956e-01
1.8000000000000002e-03	2.3645255760732870e-314	1.9631275851119512e-01	3.0008993260648758e+01	5.9999855169180014e+00	8.3855419590585023e-01	4.5058130796949952e-02	1.9631275851119503e-01	9.9999999999999944e-01
1.8666666666666666e-03	2.3645255760732870e-314	1.9631275851119503e-01	3.0009659006272763e+01	5.9999855202288437e+00	8.3855419599315228e-01	4.5058130399766340e-02	1.9631275851119503e-01	9.9999999999999944e-01
1.9333333333333333e-03	2.3645255760732870e-314	1.9631275851119503e-01	3.0010348528524521e+01	5.9999855238823141e+00	8.3855419608322446e-01	4.5058129993122274e-02	1.9631275851119501e-01	9.9999999999999944e-01
2.0000000000000000e-03	2.3645255760732870e-314	1.9631275851119501e-01	3.0011061827403836e+01	5.9999855279020329e+00	8.3855419617603189e-01	4.5058129577474827e-02	1.9631275851119501e-01	9.9999999999999967e-01
2.0666666666666667e-03	2.3645255760732870e-314	1.9631275851119501e-01	3.0011798902910584e+01	5.9999855323124400e+00	8.3855419627153804e-01	4.5058129153373462e-02	1.9631275851119501e-01	9.9999999999999944e-01
2.1333333333333334e-03	2.3645255760732870e-314	1.9631275851119501e-01	3.0012559755044535e+01	5.9999855371387794e+00	8.3855419636970641e-01	4.5058128721315899e-02	1.9631275851119509e-01	9.9999999999999922e-01
2.2000000000000001e-03	2.3645255760732870e-314	1.9631275851119509e-01	3.0013344383805503e+01	5.9999855424071109e+00	8.3855419647049878e-01	4.5058128281835599e-02	1.9631275851119506e-01	9.9999999999999911e-01
2.2666666666666668e-03	2.3645255760732870e-314	1.9631275851119506e-01	3.0014152789193226e+01	5.9999855481443118e+00	8.3855419657387575e-01	4.5058127835505432e-02	1.9631275851119492e-01	9.9999999999999933e-01
2.3333333333333335e-03	2.3645255760732870e-314	1.9631275851119492e-01	3.0014984971207586e+01	5.9999855543780729e+00	8.3855419667979869e-01	4.5058127382874860e-02	1.9631275851119492e-01	9.9999999999999933e-01
2.4000000000000002e-03	2.3645255760732870e-314	1.9631275851119492e-01	3.0015840929848316e+01	5.9999855611368975e+00	8.3855419678822685e-01	4.5058126924537707e-02	1.9631275851119503e-01	9.9999999999999933e-01
2.4666666666666669e-03	2.3645255760732870e-314	1.9631275851119503e-01	3.0016720665115237e+01	5.9999855684501080e+00	8.3855419689911981e-01	4.5058126461082870e-02	1.9631275851119492e-01	9.9999999999999922e-01
2.5333333333333336e-03	2.3645255760732870e-314	1.9631275851119492e-01	3.0017624177008088e+01	5.9999855763478323e+00	8.3855419701243517e-01	4.5058125993123872e-02	1.9631275851119487e-01	9.9999999999999922e-01
2.6000000000000003e-03	2.3645255760732870e-314	1.9631275851119487e-01	3.0018551465526635e+01	5.9999855848610189e+00	8.3855419712813140e-01	4.5058125521277935e-02	1.9631275851119492e-01	9.9999999999999922e-01
2.6666666666666670e-03	2.3645255760732870e-314	1.9631275851119492e-01	3.0019502530670685e+01	5.9999855940214353e+00	8.3855419724616642e-01	4.5058125046168455e-02	1.9631275851119484e-01	9.9999999999999889e-01
2.7333333333333333e-03	2.3645255760732870e-314	1.9631275851119484e-01	3.0020477372439931e+01	5.9999856038616528e+00	8.3855419736649628e-01	4.5058124568442229e-02	1.9631275851119487e-01	9.9999999999999889e-01
2.8000000000000000e-03	2.3645255760732870e-314	1.9631275851119487e-01	3.0021475990834148e+01	5.9999856144150581e+00	8.3855419748907789e-01	4.5058124088766985e-02	1.9631275851119484e-01	9.9999999999999900e-01
2.8666666666666667e-03	2.3645255760732870e-314	1.9631275851119484e-01	3.0022498385853087e+01	5.9999856257158601e+00	8.3855419761386818e-01	4.5058123607782136e-02	1.9631275851119484e-01	9.9999999999999911e-01
2.9333333333333334e-03	2.3645255760732870e-314	1.9631275851119484e-01	3.0023544557496507e+01	5.9999856377990719e+00	8.3855419774082351e-01	4.5058123126165264e-02	1.9631275851119498e-01	9.9999999999999889e-01
3.0000000000000001e-03	2.3645255760732870e-314	1.9631275851119498e-01	3.0024614505764095e+01	5.9999856507005287e+00	8.3855419786989849e-01	4.5058122644608754e-02	1.9631275851119484e-01	9.9999999999999911e-01
3.0666666666666668e-03	2.3645255760732870e-314	1.9631275851119484e-01	3.0025708230655603e+01	5.9999856644568812e+00	8.3855419800105091e-01	4.5058122163780349e-02	1.9631275851119498e-01	9.9999999999999900e-01
3.1333333333333335e-03	2.3645255760732870e-314	1.9631275851119498e-01	3.0026825732170732e+01	5.9999856791055812e+00	8.3855419813423693e-01	4.5058121684358875e-02	1.9631275851119506e-01	9.9999999999999900e-01
3.2000000000000002e-03	2.3645255760732870e-314	1.9631275851119506e-01	3.0027967010309187e+01	5.9999856946849084e+00	8.3855419826941191e-01	4.5058121207071193e-02	1.9631275851119506e-01	9.9999999999999911e-01
3.2666666666666669e-03	2.3645255760732870e-314	1.9631275851119506e-01	3.0029132065070712e+01	5.9999857112339532e+00	8.3855419840653367e-01	4.5058120732582592e-02	1.9631275851119498e-01	9.9999999999999911e-01
3.3333333333333335e-03	2.3645255760732870e-314	1.9631275851119498e-01	3.0030320896454946e+01	5.9999857287926135e+00	8.3855419854555813e-01	4.5058120261611316e-02	1.9631275851119503e-01	9.9999999999999922e-01
3.4000000000000002e-03	2.3645255760732870e-314	1.9631275851119503e-01	3.0031533504461638e+01	5.9999857474016123e+00	8.3855419868644421e-01	4.5058119794842359e-02	1.9631275851119509e-01	9.9999999999999922e-01
3.4666666666666669e-03	2.3645255760732870e-314	1.9631275851119509e-01	3.0032769889090471e+01	5.9999857671024763e+00	8.3855419882914906e-01	4.5058119332987798e-02	1.9631275851119503e-01	9.9999999999999911e-01
3.5333333333333336e-03	2.3645255760732870e-314	1.9631275851119503e-01	3.0034030050341105e+01	5.9999857879375522e+00	8.3855419897363270e-01	4.5058118876727699e-02	1.9631275851119498e-01	9.9999999999999900e-01
3.6000000000000003e-03	2.3645255760732870e-314	1.9631275851119498e-01	3.0035313988213211e+01	5.9999858099500027e+00	8.3855419911985496e-01	4.5058118426745820e-02	1.9631275851119492e-01	9.9999999999999889e-01
3.6666666666666670e-03	2.3645255760732870e-314	1.9631275851119492e-01	3.0036621702706448e+01	5.9999858331837936e+00	8.3855419926777530e-01	4.5058117983754246e-02	1.9631275851119501e-01	9.9999999999999911e-01
3.7333333333333333e-03	2.3645255760732870e-314	1.9631275851119501e-01	3.0037953193820528e+01	5.9999858576837246e+00	8.3855419941735798e-01	4.5058117548394845e-02	1.9631275851119509e-01	9.9999999999999911e-01
3.8000000000000000e-03	2.3645255760732870e-314	1.9631275851119509e-01	3.0039308461555052e+01	5.9999858834953868e+00	8.3855419956856458e-01	4.5058117121346448e-02	1.9631275851119498e-01	9.9999999999999911e-01
3.8666666666666667e-03	2.3645255760732870e-314	1.9631275851119498e-01	3.0040687505909702e+01	5.9999859106652016e+00	8.3855419972136125e-01	4.5058116703264470e-02	1.9631275851119498e-01	9.9999999999999911e-01
3.9333333333333338e-03	2.3645255760732870e-314	1.9631275851119498e-01	3.0042090326884122e+01	5.9999859392403998e+00	8.3855419987571411e-01	4.5058116294782152e-02	1.9631275851119506e-01	9.9999999999999911e-01
4.0000000000000001e-03	2.3645255760732870e-314	1.9631275851119506e-01	3.0043516924477910e+01	5.9999859692690212e+00	8.3855420003159009e-01	4.5058115896533975e-02	1.9631275851119490e-01	9.9999999999999922e-01
4.0666666666666672e-03	2.3645255760732870e-314	1.9631275851119490e-01	3.0044967298690743e+01	5.9999860007999342e+00	8.3855420018896143e-01	4.5058115509094041e-02	1.9631275851119506e-01	9.9999999999999911e-01
4.1333333333333335e-03	2.3645255760732870e-314	1.9631275851119506e-01	3.0046441449522217e+01	5.9999860338828030e+00	8.3855420034779848e-01	4.5058115133075879e-02	1.9631275851119506e-01	9.9999999999999911e-01
4.2000000000000006e-03	2.3645255760732870e-314	1.9631275851119506e-01	3.0047939376971961e+01	5.9999860685681199e+00	8.3855420050807727e-01	4.5058114769008027e-02	1.9631275851119506e-01	9.9999999999999900e-01
4.2666666666666669e-03	2.3645255760732870e-314	1.9631275851119506e-01	3.0049461081039592e+01	5.9999861049071850e+00	8.3855420066977315e-01	4.5058114417446095e-02	1.9631275851119509e-01	9.9999999999999900e-01
4.3333333333333331e-03	2.3645255760732870e-314	1.9631275851119509e-01	3.0051006561724691e+01	5.9999861429521149e+00	8.3855420083286614e-01	4.5058114078881661e-02	1.9631275851119526e-01	9.9999999999999944e-01
4.4000000000000003e-03	2.3645255760732870e-314	1.9631275851119526e-01	3.0052575819026881e+01	5.9999861827558414e+00	8.3855420099733835e-01	4.5058113753789035e-02	1.9631275851119509e-01	9.9999999999999956e-01
4.4666666666666665e-03	2.3645255760732870e-314	1.9631275851119509e-01	3.0054168852945761e+01	5.9999862243721118e+00	8.3855420116317481e-01	4.5058113442612971e-02	1.9631275851119526e-01	9.9999999999999956e-01
4.5333333333333337e-03	2.3645255760732870e-314	1.9631275851119526e-01	3.0055785663480894e+01	5.9999862678554843e+00	8.3855420133036296e-01	4.5058113145752622e-02	1.9631275851119509e-01	9.9999999999999956e-01
4.5999999999999999e-03	2.3645255760732870e-314	1.9631275851119509e-01	3.0057426250631856e+01	5.9999863132613322e+00	8.3855420149889615e-01	4.5058112863545573e-02	1.9631275851119523e-01	9.9999999999999956e-01
