
time	REAL(psi[n])	IMAG(psi[n])	averx	deltax	averp	deltap	avg_state_energy	norm(psi)
0.0000000000000000e+00	2.2361323809612573e-314	0.0000000000000000e+00	3.0000005694569190e+01	5.9999854930547034e+00	8.3855419469449777e-01	4.5058136596556914e-02	1.9631275851119528e-01	9.9999999999999989e-01
5.0000000000000002e-05	2.2361323809612573e-314	1.9631275851119528e-01	3.0000023527041854e+01	5.9999854930636420e+00	8.3855419469696246e-01	4.5058136584249342e-02	1.9631275851119528e-01	9.9999999999999978e-01
1.0000000000000000e-04	2.2361323809612573e-314	1.9631275851119528e-01	3.0000059191987180e+01	5.9999854930819749e+00	8.3855419470189074e-01	4.5058136559634192e-02	1.9631275851119526e-01	1.0000000000000000e+00
1.5000000000000001e-04	2.2361323809612573e-314	1.9631275851119526e-01	3.0000112689405167e+01	5.9999854931106240e+00	8.3855419470928205e-01	4.5058136522731176e-02	1.9631275851119528e-01	9.9999999999999989e-01
2.0000000000000001e-04	2.2361323809612573e-314	1.9631275851119528e-01	3.0000184019295826e+01	5.9999854931509615e+00	8.3855419471913317e-01	4.5058136473577259e-02	1.9631275851119534e-01	9.9999999999999956e-01
2.5000000000000001e-04	2.2361323809612573e-314	1.9631275851119534e-01	3.0000273181659093e+01	5.9999854932048180e+00	8.3855419473144177e-01	4.5058136412194617e-02	1.9631275851119523e-01	9.9999999999999989e-01
3.0000000000000003e-04	2.2361323809612573e-314	1.9631275851119523e-01	3.0000380176494986e+01	5.9999854932744858e+00	8.3855419474620418e-01	4.5058136338649767e-02	1.9631275851119528e-01	1.0000000000000000e+00
3.5000000000000000e-04	2.2361323809612573e-314	1.9631275851119528e-01	3.0000505003803529e+01	5.9999854933627175e+00	8.3855419476341542e-01	4.5058136252998163e-02	1.9631275851119517e-01	9.9999999999999989e-01
4.0000000000000002e-04	2.2361323809612573e-314	1.9631275851119517e-01	3.0000647663584644e+01	5.9999854934727139e+00	8.3855419478307047e-01	4.5058136155307557e-02	1.9631275851119520e-01	1.0000000000000000e+00
4.5000000000000004e-04	2.2361323809612573e-314	1.9631275851119520e-01	3.0000808155838357e+01	5.9999854936081443e+00	8.3855419480516513e-01	4.5058136045622296e-02	1.9631275851119526e-01	9.9999999999999978e-01
5.0000000000000001e-04	2.2361323809612573e-314	1.9631275851119526e-01	3.0000986480564610e+01	5.9999854937731314e+00	8.3855419482969029e-01	4.5058135924077904e-02	1.9631275851119531e-01	9.9999999999999978e-01
5.5000000000000003e-04	2.2361323809612573e-314	1.9631275851119531e-01	3.0001182637763378e+01	5.9999854939722530e+00	8.3855419485663973e-01	4.5058135790735983e-02	1.9631275851119531e-01	9.9999999999999989e-01
6.0000000000000006e-04	2.2361323809612573e-314	1.9631275851119531e-01	3.0001396627434644e+01	5.9999854942105539e+00	8.3855419488600536e-01	4.5058135645720962e-02	1.9631275851119534e-01	1.0000000000000000e+00
6.5000000000000008e-04	2.2361323809612573e-314	1.9631275851119534e-01	3.0001628449578405e+01	5.9999854944935329e+00	8.3855419491777861e-01	4.5058135489136321e-02	1.9631275851119528e-01	9.9999999999999978e-01
6.9999999999999999e-04	2.2361323809612573e-314	1.9631275851119528e-01	3.0001878104194596e+01	5.9999854948271416e+00	8.3855419495194927e-01	4.5058135321123752e-02	1.9631275851119528e-01	9.9999999999999989e-01
7.5000000000000002e-04	2.2361323809612573e-314	1.9631275851119528e-01	3.0002145591283188e+01	5.9999854952177998e+00	8.3855419498850770e-01	4.5058135141799051e-02	1.9631275851119534e-01	9.9999999999999989e-01
8.0000000000000004e-04	2.2361323809612573e-314	1.9631275851119534e-01	3.0002430910844122e+01	5.9999854956723704e+00	8.3855419502744244e-01	4.5058134951322382e-02	1.9631275851119540e-01	1.0000000000000000e+00
8.5000000000000006e-04	2.2361323809612573e-314	1.9631275851119540e-01	3.0002734062877398e+01	5.9999854961981907e+00	8.3855419506874262e-01	4.5058134749836651e-02	1.9631275851119528e-01	9.9999999999999989e-01
